,Hardware,Unnamed: 0,benchmark_name,count,extra_time_to_execute(us),inference_time(us),input_shape,input_type,num_of_batches,num_of_channels,num_threads
198,Desktop(CPU + GPU),198.0,graphmaximum_elementwise_800_float_f,50,0.0,1655.34,"800,800",float,1,3,4
199,NCS2,199.0,graphmaximum_elementwise_800_float_f,50,202430.0,3090.0,"800,800",float,1,3,4
200,Desktop(CPU + GPU),200.0,graphmaximum_elementwise_800_float_f,50,0.0,1609.72,"800,800",float,1,3,5
201,NCS2,201.0,graphmaximum_elementwise_800_float_f,50,200110.0,3060.0,"800,800",float,1,3,5
202,Desktop(CPU + GPU),202.0,graphmaximum_elementwise_800_float_f,50,0.0,1716.76,"800,800",float,1,3,6
203,NCS2,203.0,graphmaximum_elementwise_800_float_f,50,199650.0,3060.0,"800,800",float,1,3,6
204,Desktop(CPU + GPU),204.0,graphmaximum_elementwise_800_float_f,50,0.0,1671.26,"800,800",float,1,3,7
205,NCS2,205.0,graphmaximum_elementwise_800_float_f,50,205100.0,3070.0,"800,800",float,1,3,7
206,Desktop(CPU + GPU),206.0,graphmaximum_elementwise_800_float_f,50,0.0,1566.44,"800,800",float,1,3,8
207,NCS2,207.0,graphmaximum_elementwise_800_float_f,50,198130.0,3070.0,"800,800",float,1,3,8
208,Desktop(CPU + GPU),208.0,graphmaximum_elementwise_800_float_f,50,0.0,1755.06,"800,800",float,1,3,9
209,NCS2,209.0,graphmaximum_elementwise_800_float_f,50,204310.0,3080.0,"800,800",float,1,3,9
210,Desktop(CPU + GPU),210.0,graphmaximum_elementwise_800_float_f,50,0.0,1746.48,"800,800",float,1,3,10
211,NCS2,211.0,graphmaximum_elementwise_800_float_f,50,202550.0,3070.0,"800,800",float,1,3,10
212,Desktop(CPU + GPU),212.0,graphmaximum_elementwise_800_float_f,50,0.0,1625.52,"800,800",float,1,3,11
213,NCS2,213.0,graphmaximum_elementwise_800_float_f,50,199100.0,3070.0,"800,800",float,1,3,11
214,Desktop(CPU + GPU),214.0,graphmaximum_elementwise_800_float_f,50,0.0,1756.04,"800,800",float,1,3,12
215,NCS2,215.0,graphmaximum_elementwise_800_float_f,50,199470.0,3070.0,"800,800",float,1,3,12
216,Desktop(CPU + GPU),216.0,graphmaximum_elementwise_20_float32_f,50,0.0,171.52,"20,20",float,1,3,1
217,NCS2,217.0,graphmaximum_elementwise_20_float32_f,50,1650.0,80.0,"20,20",float,1,3,1
218,Desktop(CPU + GPU),218.0,graphmaximum_elementwise_20_float32_f,50,0.0,142.0,"20,20",float,1,3,2
219,NCS2,219.0,graphmaximum_elementwise_20_float32_f,50,1900.0,70.0,"20,20",float,1,3,2
220,Desktop(CPU + GPU),220.0,graphmaximum_elementwise_20_float32_f,50,0.0,178.26,"20,20",float,1,3,3
221,NCS2,221.0,graphmaximum_elementwise_20_float32_f,50,1720.0,70.0,"20,20",float,1,3,3
222,Desktop(CPU + GPU),222.0,graphmaximum_elementwise_20_float32_f,50,0.0,167.74,"20,20",float,1,3,4
223,NCS2,223.0,graphmaximum_elementwise_20_float32_f,50,1680.0,30.0,"20,20",float,1,3,4
224,Desktop(CPU + GPU),224.0,graphmaximum_elementwise_20_float32_f,50,0.0,163.16,"20,20",float,1,3,5
225,NCS2,225.0,graphmaximum_elementwise_20_float32_f,50,1640.0,30.0,"20,20",float,1,3,5
226,Desktop(CPU + GPU),226.0,graphmaximum_elementwise_20_float32_f,50,0.0,153.42,"20,20",float,1,3,6
227,NCS2,227.0,graphmaximum_elementwise_20_float32_f,50,1910.0,30.0,"20,20",float,1,3,6
228,Desktop(CPU + GPU),228.0,graphmaximum_elementwise_20_float32_f,50,0.0,157.1,"20,20",float,1,3,7
229,NCS2,229.0,graphmaximum_elementwise_20_float32_f,50,1760.0,40.0,"20,20",float,1,3,7
230,Desktop(CPU + GPU),230.0,graphmaximum_elementwise_20_float32_f,50,0.0,157.02,"20,20",float,1,3,8
231,NCS2,231.0,graphmaximum_elementwise_20_float32_f,50,1820.0,40.0,"20,20",float,1,3,8
232,Desktop(CPU + GPU),232.0,graphmaximum_elementwise_20_float32_f,50,0.0,160.4,"20,20",float,1,3,9
233,NCS2,233.0,graphmaximum_elementwise_20_float32_f,50,1810.0,50.0,"20,20",float,1,3,9
234,Desktop(CPU + GPU),234.0,graphmaximum_elementwise_20_float32_f,50,0.0,154.4,"20,20",float,1,3,10
235,NCS2,235.0,graphmaximum_elementwise_20_float32_f,50,1730.0,50.0,"20,20",float,1,3,10
236,Desktop(CPU + GPU),236.0,graphmaximum_elementwise_20_float32_f,50,0.0,138.72,"20,20",float,1,3,11
237,NCS2,237.0,graphmaximum_elementwise_20_float32_f,50,1840.0,100.0,"20,20",float,1,3,11
